,date,fossil_gas,fossil_coal
0,04-08-2022,5613,2747
1,04-08-2022,5425,2742
2,04-08-2022,5039,2797
3,04-08-2022,4661,2805
4,04-08-2022,3833,2789
5,04-08-2022,3668,2810
6,04-08-2022,3444,2784
7,04-08-2022,3298,2785
8,04-08-2022,2965,2781
9,04-08-2022,2830,2811
10,04-08-2022,2800,2805
11,04-08-2022,2751,2803
12,04-08-2022,2545,2801
13,04-08-2022,2496,2802
14,04-08-2022,2514,2816
15,04-08-2022,2503,2795
16,04-08-2022,2561,2685
17,04-08-2022,2585,2656
18,04-08-2022,2578,2662
19,04-08-2022,2579,2712
20,04-08-2022,2778,2796
21,04-08-2022,2848,2818
22,04-08-2022,3023,2824
23,04-08-2022,3088,2831
24,04-08-2022,3546,2829
25,04-08-2022,3778,2831
26,04-08-2022,3857,2831
27,04-08-2022,3808,2828
28,04-08-2022,3772,2821
29,04-08-2022,3864,2826
30,04-08-2022,3961,2818
31,04-08-2022,3994,2825
32,04-08-2022,4083,2826
33,04-08-2022,4100,2816
34,04-08-2022,3729,2797
35,04-08-2022,3507,2778
36,04-08-2022,3546,2794
37,04-08-2022,3549,2761
38,04-08-2022,3453,2748
39,04-08-2022,3249,2757
40,04-08-2022,3380,2822
41,04-08-2022,3064,2811
42,04-08-2022,2713,2808
43,04-08-2022,2698,2779
44,04-08-2022,2380,2792
45,04-08-2022,2618,2801
46,04-08-2022,2682,2793
47,04-08-2022,2662,2814
48,04-08-2022,2609,2821
49,04-08-2022,2775,2817
50,04-08-2022,2878,2879
51,04-08-2022,2546,2955
52,04-08-2022,2402,2981
53,04-08-2022,2297,2973
54,04-08-2022,2464,2994
55,04-08-2022,2528,2989
56,04-08-2022,2415,2982
57,04-08-2022,2372,2980
58,04-08-2022,2392,2970
59,04-08-2022,2321,2982
60,04-08-2022,2006,2953
61,04-08-2022,1891,2938
62,04-08-2022,1888,2952
63,04-08-2022,1926,2945
64,04-08-2022,1971,2953
65,04-08-2022,2135,2965
66,04-08-2022,2310,2963
67,04-08-2022,2531,2979
68,04-08-2022,2953,2968
69,04-08-2022,3249,2983
70,04-08-2022,3571,2975
71,04-08-2022,3889,2953
72,04-08-2022,4496,2963
73,04-08-2022,4806,2971
74,04-08-2022,5051,2963
75,04-08-2022,5425,2968
76,04-08-2022,5876,2914
77,04-08-2022,5997,2926
78,04-08-2022,5982,2944
79,04-08-2022,6162,2952
80,04-08-2022,6195,2944
81,04-08-2022,6118,2951
82,04-08-2022,6191,2956
83,04-08-2022,6184,2962
84,04-08-2022,6256,2959
85,04-08-2022,6242,2942
86,04-08-2022,6294,2952
87,04-08-2022,6206,2968
88,04-08-2022,6066,2953
89,04-08-2022,5870,2949
90,04-08-2022,5751,2955
91,04-08-2022,5594,2941
92,04-08-2022,5425,2949
93,04-08-2022,5390,2959
94,04-08-2022,5217,2954
95,04-08-2022,4804,2959
96,05-08-2022,4041,2964
97,05-08-2022,3964,2978
98,05-08-2022,3730,2984
99,05-08-2022,3348,2975
100,05-08-2022,2731,3022
101,05-08-2022,2451,3038
102,05-08-2022,2362,3060
103,05-08-2022,2238,3075
104,05-08-2022,2196,3074
105,05-08-2022,2177,3080
106,05-08-2022,2138,3084
107,05-08-2022,2131,3079
108,05-08-2022,2049,3089
109,05-08-2022,2063,3093
110,05-08-2022,2084,3075
111,05-08-2022,2068,3085
112,05-08-2022,2170,3085
113,05-08-2022,2230,3072
114,05-08-2022,2240,3078
115,05-08-2022,2250,3079
116,05-08-2022,2347,3082
117,05-08-2022,2391,3071
118,05-08-2022,2534,3085
119,05-08-2022,2640,3083
120,05-08-2022,2841,3086
121,05-08-2022,2915,3059
122,05-08-2022,2909,3070
123,05-08-2022,2983,3080
124,05-08-2022,3110,3096
125,05-08-2022,3040,3103
126,05-08-2022,3026,3080
127,05-08-2022,3046,3061
128,05-08-2022,3053,3082
129,05-08-2022,3010,3074
130,05-08-2022,2903,3059
131,05-08-2022,2912,3053
132,05-08-2022,3398,3111
133,05-08-2022,3265,3088
134,05-08-2022,2989,3060
135,05-08-2022,2871,3048
136,05-08-2022,3106,3076
137,05-08-2022,2843,3071
138,05-08-2022,2747,3039
139,05-08-2022,2611,3041
140,05-08-2022,2514,3045
141,05-08-2022,2407,3035
142,05-08-2022,2465,3041
143,05-08-2022,2358,3006
144,05-08-2022,2169,2997
145,05-08-2022,1998,3002
146,05-08-2022,1973,2957
147,05-08-2022,1797,2859
148,05-08-2022,1734,2822
149,05-08-2022,1691,2817
150,05-08-2022,1650,2820
151,05-08-2022,1517,2806
152,05-08-2022,1512,2717
153,05-08-2022,1459,2677
154,05-08-2022,1462,2663
155,05-08-2022,1486,2630
156,05-08-2022,1537,2540
157,05-08-2022,1460,2483
158,05-08-2022,1473,2545
159,05-08-2022,1419,2563
160,05-08-2022,1437,2585
161,05-08-2022,1583,2610
162,05-08-2022,1678,2636
163,05-08-2022,1812,2729
164,05-08-2022,1761,2844
165,05-08-2022,1854,2856
166,05-08-2022,1999,2937
167,05-08-2022,1940,2925
168,05-08-2022,1804,2908
169,05-08-2022,1948,2907
170,05-08-2022,2033,2921
171,05-08-2022,2247,2903
172,05-08-2022,2197,2902
173,05-08-2022,2315,2911
174,05-08-2022,2517,2941
175,05-08-2022,2710,2960
176,05-08-2022,2837,2982
177,05-08-2022,2838,2993
178,05-08-2022,2888,3015
179,05-08-2022,2780,3011
180,05-08-2022,2656,3016
181,05-08-2022,2623,3008
182,05-08-2022,2621,3011
183,05-08-2022,2618,3017
184,05-08-2022,2594,3022
185,05-08-2022,2586,3012
186,05-08-2022,2592,3026
187,05-08-2022,2511,3008
188,05-08-2022,2579,3007
189,05-08-2022,2592,3008
190,05-08-2022,2608,3003
191,05-08-2022,2527,2999
192,06-08-2022,2454,2974
193,06-08-2022,2434,2926
194,06-08-2022,2367,2889
195,06-08-2022,2227,2885
196,06-08-2022,1967,2899
197,06-08-2022,1869,2892
198,06-08-2022,1874,2880
199,06-08-2022,1764,2847
200,06-08-2022,1726,2858
201,06-08-2022,1725,2855
202,06-08-2022,1750,2859
203,06-08-2022,1745,2861
204,06-08-2022,1691,2859
205,06-08-2022,1691,2865
206,06-08-2022,1707,2839
207,06-08-2022,1691,2840
208,06-08-2022,1687,2868
209,06-08-2022,1672,2875
210,06-08-2022,1712,2864
211,06-08-2022,1736,2836
212,06-08-2022,1773,2830
213,06-08-2022,1720,2858
214,06-08-2022,1695,2838
215,06-08-2022,1657,2841
216,06-08-2022,1650,2862
217,06-08-2022,1627,2824
218,06-08-2022,1647,2792
219,06-08-2022,1560,2793
220,06-08-2022,1725,2821
221,06-08-2022,1698,2826
222,06-08-2022,1651,2819
223,06-08-2022,1661,2823
224,06-08-2022,1779,2841
225,06-08-2022,1787,2828
226,06-08-2022,1610,2821
227,06-08-2022,1490,2727
228,06-08-2022,1714,2631
229,06-08-2022,1698,2577
230,06-08-2022,1655,2620
231,06-08-2022,1450,2601
232,06-08-2022,1769,2596
233,06-08-2022,1896,2670
234,06-08-2022,1842,2639
235,06-08-2022,1786,2625
236,06-08-2022,1732,2579
237,06-08-2022,1709,2468
238,06-08-2022,1720,2361
239,06-08-2022,1731,2237
240,06-08-2022,1533,2118
241,06-08-2022,1552,2024
242,06-08-2022,1457,1922
243,06-08-2022,1514,1814
244,06-08-2022,1712,1732
245,06-08-2022,1756,1699
246,06-08-2022,1616,1688
247,06-08-2022,1700,1668
248,06-08-2022,1637,1653
249,06-08-2022,1570,1671
250,06-08-2022,1581,1658
251,06-08-2022,1712,1655
252,06-08-2022,1485,1646
253,06-08-2022,1419,1676
254,06-08-2022,1511,1682
255,06-08-2022,1679,1727
256,06-08-2022,1507,1786
257,06-08-2022,1458,2010
258,06-08-2022,1427,2240
259,06-08-2022,1501,2458
260,06-08-2022,1408,2687
261,06-08-2022,1560,2753
262,06-08-2022,1654,2775
263,06-08-2022,1765,2773
264,06-08-2022,1720,2764
265,06-08-2022,1801,2738
266,06-08-2022,1833,2769
267,06-08-2022,1899,2795
268,06-08-2022,1809,2788
269,06-08-2022,1849,2797
270,06-08-2022,2091,2801
271,06-08-2022,2238,2839
272,06-08-2022,2236,2808
273,06-08-2022,2248,2821
274,06-08-2022,2285,2826
275,06-08-2022,2269,2823
276,06-08-2022,2263,2818
277,06-08-2022,2236,2812
278,06-08-2022,2222,2793
279,06-08-2022,2216,2800
280,06-08-2022,2158,2809
281,06-08-2022,2103,2806
282,06-08-2022,2040,2806
283,06-08-2022,1982,2787
284,06-08-2022,2068,2812
285,06-08-2022,2012,2806
286,06-08-2022,1982,2779
287,06-08-2022,1956,2777
288,07-08-2022,1943,2775
289,07-08-2022,1931,2847
290,07-08-2022,1942,2841
291,07-08-2022,1853,2872
292,07-08-2022,1919,2898
293,07-08-2022,1940,2931
294,07-08-2022,1886,2924
295,07-08-2022,1845,2910
296,07-08-2022,1896,2916
297,07-08-2022,1908,2928
298,07-08-2022,1893,2918
299,07-08-2022,1889,2930
300,07-08-2022,1873,2921
301,07-08-2022,1859,2926
302,07-08-2022,1851,2926
303,07-08-2022,1858,2924
304,07-08-2022,1874,2922
305,07-08-2022,1878,2927
306,07-08-2022,1868,2920
307,07-08-2022,1827,2929
308,07-08-2022,1822,2932
309,07-08-2022,1828,2933
310,07-08-2022,1818,2929
311,07-08-2022,1797,2902
312,07-08-2022,1808,2918
313,07-08-2022,1826,2931
314,07-08-2022,1837,2922
315,07-08-2022,1751,2930
316,07-08-2022,1844,2922
317,07-08-2022,1936,2902
318,07-08-2022,1842,2829
319,07-08-2022,1748,2630
320,07-08-2022,1829,2450
321,07-08-2022,1862,2208
322,07-08-2022,1850,2015
323,07-08-2022,1741,1880
324,07-08-2022,1639,1764
325,07-08-2022,1564,1701
326,07-08-2022,1428,1674
327,07-08-2022,1324,1629
